startDate,endDate,brief,investor_id,groupName,isCurrent,position,kr_group_id,id
2005-05-01 12:00:00,2006-12-01 12:00:00,大学生LBS交友网站,20189,底片网,False,创始人,133627,51
2015-07-01 12:00:00,9999-09-09 09:09:09,投资人社区,20177,风口,True,创始人,159942,52
2015-02-01 12:00:00,9999-09-09 09:09:09,产品测试所用，非正式公司,20179,产品测试专用公司,True,联合创始人,130740,53
2013-04-01 12:00:00,9999-09-09 09:09:09,致力于让用户优质住宿的公司,20179,林海宜舍,True,创始人,140476,54
2014-03-01 12:00:00,9999-09-09 09:09:09,面向大学生的兼职平台,20164,河马兼职,True,创始人,140043,55
,9999-09-09 09:09:09,专注大学生职业发展的服务平台。,20164,职达校园,True,创始人,147170,56
2014-04-01 12:00:00,2014-12-01 12:00:00,把自己的生活点滴绘画出来的应用工具,20164,汇趣,False,联合创始人,34358,57
2010-10-01 12:00:00,2013-05-01 12:00:00,一个收藏、分享、整理互联网资源的平台,20158,爱库网,False,创始人,132985,58
2009-05-01 12:00:00,2010-09-01 12:00:00,中国最早一批 APP Store 产品独立开发者,20149,MARSMONKEYS,False,联合创始人,157966,59
2014-03-01 12:00:00,9999-09-09 09:09:09,大学校园活动社区APP,20148,WeCampus,True,创始人,26426,60
2014-03-01 12:00:00,2015-03-01 12:00:00,大学校园活动社区APP,20148,WeCampus,False,创始人,26426,61
2013-09-01 12:00:00,2014-05-01 12:00:00,创意甜品桌，针对婚庆市场,20146,黄小熊翻糖工坊,False,联合创始人,132619,62
2011-01-01 12:00:00,2012-02-01 12:00:00,别墅派对O2O,20146,29派,False,创始人,132617,63
2014-03-01 00:00:00,9999-09-09 09:09:09,测试测试测试测试测试测试,20145,CESHI,True,创始人,151778,64
2013-05-01 12:00:00,,创新型中学生网络课堂,20129,青果学院,True,创始人,133098,65
2014-04-01 12:00:00,,助力初创项目快速成长,20126,氪空间,True,创始人,132710,66
,9999-09-09 09:09:09,O2O全城洗车一卡通,20114,洗爱车,True,创始人,28541,67
2014-09-01 12:00:00,9999-09-09 09:09:09,为金融机构与求职者打造垂直招聘与职业培训一体化平台,20113,职业梦,True,联合创始人,29878,68
2015-03-01 12:00:00,9999-09-09 09:09:09,定位为服务中国人海外投资的社交平台,20102,港股那些事,True,联合创始人,134643,71
2015-01-01 12:00:00,9999-09-09 09:09:09,test company,20103,tencent,True,创始人,142734,70
2014-03-01 12:00:00,2015-04-01 12:00:00,二手车零售平台,20480,优车诚品,False,联合创始人,29655,72
2003-06-01 12:00:00,2006-12-01 12:00:00,根据用户不同的护肤需求，推荐跨品牌的护肤品电商店,20480,lifejoy丽人居,False,创始人,146210,73
2012-11-01 12:00:00,2014-07-01 12:00:00,有机果蔬肉等农产品电子商务网站,20467,天天踏歌,False,联合创始人,4720,74
2011-07-01 12:00:00,2013-07-01 12:00:00,智能LED照明。,20456,深圳市牛犊科技有限公司（酷毙灯）,False,联合创始人,154777,75
2014-05-01 12:00:00,9999-09-09 09:09:09,让你的投资更有趣！,20446,云岸金服,True,创始人,159136,76
2014-10-01 12:00:00,9999-09-09 09:09:09,一家专注提供品牌餐厅在线订餐及1小时快速配送服务的平台,20417,指动生活,True,联合创始人,142642,77
2014-03-01 12:00:00,2014-10-01 12:00:00,WPP旗下电商服务平台,20417,杭州创品集地科技有限公司,False,联合创始人,162662,78
2001-07-01 12:00:00,9999-09-09 09:09:09,从事信息安全，关注互联网初创企业,20415,湖北华枫科技发展有限公司,True,创始人,142700,79
2014-10-01 12:00:00,9999-09-09 09:09:09,政府基金引导的互联网金融，服务小微企业，服务网络投资人,20105,天津海河普惠金融信息服务有限公司,True,创始人,131791,69
2003-10-01 12:00:00,2008-05-01 12:00:00,三氯蔗糖食品添加剂国内第二,20361,厦门博傲科技有限公司,False,创始人,139414,80
2002-12-01 12:00:00,9999-09-09 09:09:09,致力于互联网专业信息咨询的机构,20359,艾瑞集团,True,创始人,139529,81
2006-01-01 12:00:00,2007-03-01 12:00:00,阿狸是一个国产原创动漫品牌，受到成千上万人士追捧。,20353,阿狸,False,联合创始人,27635,82
,9999-09-09 09:09:09,发现智能生活的乐趣,20333,乐趣,True,创始人,139078,83
2012-05-01 12:00:00,2014-05-01 12:00:00,免费打车软件,20333,滴滴打车,False,创始人,133772,84
2015-04-01 12:00:00,9999-09-09 09:09:09,购思是一个点子创造平台,20328,购思,True,联合创始人,142773,85
2015-01-01 12:00:00,9999-09-09 09:09:09,运用大数据技术筛选证券产品，并做成产品组合,20322,方尊网络科技,True,创始人,139490,86
2013-05-01 12:00:00,9999-09-09 09:09:09,来咯哦了来咯,20496,39氪,True,联合创始人,159651,87
2002-03-01 12:00:00,9999-09-09 09:09:09,123123123123123,20496,38氪,True,联合创始人,137279,88
1997-03-01 12:00:00,9999-09-09 09:09:09,36氪子公司,20496,40氪,True,创始人,159978,89
2013-02-01 12:00:00,9999-09-09 09:09:09,天然气领域的产业整合和配套金融服务,20592,淮安融安资产管理有限公司,True,联合创始人,149583,90
2014-12-01 12:00:00,9999-09-09 09:09:09,爱特创业加速器是一个专门投资种子阶段互联网创业项目的孵化器。,20586,爱特创业加速器,True,联合创始人,159084,91
2014-10-01 12:00:00,9999-09-09 09:09:09,手游及主机游戏研发,20584,艺趣互动,True,创始人,151453,92
2008-08-01 12:00:00,9999-09-09 09:09:09,提供供应链服务的分销链价值整合平台,20577,1号链,True,创始人,27629,93
2015-04-01 12:00:00,9999-09-09 09:09:09,我们是能够盈利的互联网+咖啡品牌,20569,伦敦桥（北京）餐饮连锁有限公司,True,创始人,159900,94
2014-05-01 12:00:00,9999-09-09 09:09:09,目前是微信号为主,20562,HowToBitch,True,创始人,159873,95
2015-01-01 12:00:00,9999-09-09 09:09:09,专注于“置业后消费”的互联网金融平台,20552,友加分,True,创始人,147710,96
2015-06-01 12:00:00,9999-09-09 09:09:09,专注实体店铺股权众筹,20544,河南人人投网络科技有限公司,True,联合创始人,150775,97
2013-04-01 12:00:00,2014-09-01 12:00:00,提供创业与投资服务,20534,B12,False,联合创始人,147733,98
2011-09-01 12:00:00,2014-10-01 12:00:00,珠宝定制电商,20526,Jillgem,False,创始人,146877,99
2009-10-01 12:00:00,9999-09-09 09:09:09,以经期健康为核心关爱女性健康的手机应用APP,20523,大姨吗,True,创始人,4980,100
2005-05-01 12:00:00,9999-09-09 09:09:09,国内领先的传媒和公关服务集团,20518,众引传播,True,创始人,159582,101
2009-10-01 12:00:00,2012-06-01 12:00:00,青年精英商业联合汇社交平台,20510,凯业,False,创始人,146571,102
2015-01-01 12:00:00,9999-09-09 09:09:09,众诚基金是一家关注互联网项目，TMT，新技术等项目的投资公司,20491,宁波众融投资管理合伙企业（有限合伙）,True,创始人,154970,103
2014-03-01 12:00:00,9999-09-09 09:09:09,dada sads dsd afdf,20641,费大法师法师,True,联合创始人,155427,104
2014-06-01 12:00:00,9999-09-09 09:09:09,春晓资本，产业互联 数据金融,20653,春晓资本,True,创始人,159754,105
2014-09-01 12:00:00,9999-09-09 09:09:09,海外华人社交软件，目前开放英国和爱尔兰站,20646,BiuBiu－海外生活,True,联合创始人,151745,106
2013-07-01 12:00:00,9999-09-09 09:09:09,云安全技术服务提供商,20638,青藤云安全,True,联合创始人,134094,107
2012-03-01 12:00:00,9999-09-09 09:09:09,WeXFin 云金融\ 微财富 \ 新浪支付,20627,WeXFIN 微汇金融,True,创始人,151666,108
2007-12-01 12:00:00,2008-08-01 12:00:00,基于亲缘关系的SNS,20609,MyFamily(5ZUU),False,联合创始人,150603,109
2001-10-01 12:00:00,2012-10-01 12:00:00,联合创始人,20611,北京超越未来科技公司,False,联合创始人,155651,110
2013-10-01 12:00:00,2014-06-01 12:00:00,为创业团队提供战略管理咨询服务,20753,因诺威,False,创始人,154983,111
2012-01-01 12:00:00,9999-09-09 09:09:09,最大的视频图片娱乐社区,20749,精灵在线（百思不得姐）,True,创始人,155104,112
2008-01-01 12:00:00,2012-12-01 12:00:00,电子商务网站，专注于为男士提供高档服装服饰产品,20749,玛萨玛索,False,联合创始人,4927,113
2002-08-01 12:00:00,2006-08-01 12:00:00,中国前10的SP公司,20749,网兴科技,False,联合创始人,155095,114
2015-06-01 12:00:00,9999-09-09 09:09:09,滴滴打卡是基于考勤切入工厂人群，提供招聘、游戏、精准广告服务,20821,广西易凯网络有限公司,True,创始人,161319,115
2014-07-01 12:00:00,9999-09-09 09:09:09,通过智能车位锁实现停车位共享经济,20880,丁丁停车,True,创始人,142028,116
2007-07-01 12:00:00,9999-09-09 09:09:09,云盘网商标持有人，最早网络硬盘厂家之一。,20879,在信科技,True,创始人,156992,117
2015-06-01 12:00:00,9999-09-09 09:09:09,前海梦创专注创业创新领域，为创业者提供全资本生态成长服务。,20847,前海梦创空间,True,创始人,156905,118
,9999-09-09 09:09:09,抓马是娱乐圈和精英人群第一社交+O2O平台,20836,抓马,True,联合创始人,152090,119
2014-08-01 12:00:00,9999-09-09 09:09:09,创业者社交,20956,微链,True,联合创始人,147729,120
2013-06-01 12:00:00,9999-09-09 09:09:09,在线编程学习网站,21117,玩编程,True,创始人,131793,121
