investDate,participant,name,latestPhase,industry,brief,investor_id,amount,phase,kr_group_id,amountUnit,id
2011-01-01 00:00:00,经纬中国,Tap4Fun,A,GAME_ANIMATION,移动游戏开发商，产品有《海岛帝国》、《银河帝国》等,20097,,ANGEL,5605,USD,37
2013-07-01 00:00:00,经纬中国,魔方网,A,GAME_ANIMATION,提供手机游戏攻略和测评等资讯的手机游戏媒体,20097,数千万,ANGEL,12185,CNY,38
2011-04-01 00:00:00,经纬中国,AutoBot,A,INTELLIGENT_HARDWARE,智能行车驾驶助手,20097,,ANGEL,136964,USD,39
2012-04-01 00:00:00,"成为资本,经纬中国",口袋购物,C,E_COMMERCE,提供宝贝搜索功能的推荐购物类应用软件,20097,1200,A,3898,USD,40
2011-12-01 00:00:00,经纬中国,陌陌,IPO,SOCIAL_NETWORK,基于地理位置的移动社交产品,20097,250,A,3682,USD,41
2011-02-01 00:00:00,经纬中国,上海慕和网络,ACQUIRED,GAME_ANIMATION,游戏开发和运营公司，拥有手机、网页等多种类型的游戏产品,20097,,A,25220,USD,42
2014-08-01 00:00:00,"经纬中国,真格基金,洪泰基金",槽厂,A,SOCIAL_NETWORK,图片弹幕社交应用,20097,,ANGEL,137159,USD,43
2014-06-01 00:00:00,经纬中国,蜜淘,B,E_COMMERCE,领先的海外限时特卖平台,20097,,A,131618,USD,44
2013-08-01 00:00:00,经纬中国,周末去哪儿,B,TRAVEL_OUTDOORS,周末旅游、周边游旅游项目的移动应用,20097,,PRE_A,4684,USD,45
2014-03-01 00:00:00,经纬中国,新氧,B,MEDICAL_HEALTH,专注于健康医疗及整形美容服务,20097,,A,29258,USD,46
2013-12-01 00:00:00,"经纬中国,真格基金,晨兴资本",Nice,C,SOCIAL_NETWORK,年轻人图片分享软件,20097,800,A,28300,USD,47
2013-04-01 00:00:00,"险峰华兴,经纬中国",美柚女生助手,C,MEDICAL_HEALTH,女性经期管理手机软件,20097,数百万,A,11923,CNY,48
,,伙伴网,A,CONSUMER_LIFESTYLE,熟人推荐工作和房产相关资讯的社交电商协作平台,20094,,,28379,,49
2014-09-01 00:00:00,晨兴资本,车秘,ANGEL,AUTO,养车用车汽车后服务知识共享平台,20094,数万,ANGEL,139247,USD,50
2014-12-01 00:00:00,"真格基金,源码资本",海那边,ANGEL,EDUCATION_TRAINING,互联网移民平台,20096,,ANGEL,132237,USD,51
2014-10-01 00:00:00,源码资本,SendCloud,A,SOFTWARE,第三方邮件发送服务平台,20096,,ANGEL,11311,USD,52
2014-09-01 00:00:00,"复星昆仲资本,红杉资本,源码资本",随手记,B,FINANCE,手机记账应用,20096,数千万,B,2567,USD,53
2014-10-01 00:00:00,"源码资本,景林资产",聚爱财,A,FINANCE,从事银行理财的金融平台,20095,数千万,ANGEL,141995,CNY,54
2014-08-01 00:00:00,源码资本,美到生活,A,CONSUMER_LIFESTYLE,社区O2O上门服务平台，提供送货到家服务,20095,数百万,ANGEL,141933,USD,55
2012-03-01 00:00:00,"源渡创投,启迪创投",快牙,B,SOFTWARE,支持移动终端间发现和分享数字内容的跨平台传输工具,20095,数百万,ANGEL,1965,CNY,56
2014-08-01 00:00:00,"源码资本,蓝驰创投",趣分期,E,FINANCE,分期购物与投资理财平台，针对大学生,20095,数千万,B,29956,USD,57
2014-12-01 00:00:00,"经纬中国,源码资本,成为资本,明势资本",好车无忧,A,AUTO,二手车交易平台,20095,2000,A,29694,USD,58
2014-11-01 00:00:00,"IDG资本,晨兴资本,源码资本,明势资本,红杉资本,清流资本",PP租车,B,AUTO,一个P2P在线租车服务平台，车主可以将爱车的空闲时段出租获得收入；租客则可以按小时低价租用附近的车辆,20095,6000,B,26327,USD,59
2015-05-01 00:00:00,e袋洗,邻厨,ANGEL,OTHER,邻里共享厨房,20091,,ANGEL,158115,USD,60
2015-03-01 00:00:00,"崇德投资,乾道投资,姚欣",俺来也,A,CONSUMER_LIFESTYLE,主打校园电商的O2O服务平台,20091,2630,PRE_A,142004,CNY,61
2015-07-01 00:00:00,e袋洗,陪爸妈,ANGEL,OTHER,居家养老服务,20091,,ANGEL,158116,USD,62
2012-07-01 00:00:00,,滴滴打车,E,AUTO,免费打车软件,20093,,ANGEL,133772,USD,63
2014-06-01 00:00:00,,仁仁分期,B,OTHER,大学生兼职分期购物平台,20093,,ANGEL,138986,USD,64
2015-01-01 00:00:00,,跑跑兼职,PRE_A,SERVICE_INDUSTRIES,大学生兼职服务平台,20093,,ANGEL,138984,USD,65
2015-03-01 00:00:00,"基本粒子投资,暾澜投资",住两天,A,TRAVEL_OUTDOORS,专注农家乐预定的网站,20093,600,ANGEL,138983,CNY,66
2015-03-01 00:00:00,,学乐中国,B,EDUCATION_TRAINING,小学生学习网站,20093,,ANGEL,5555,USD,67
2015-02-01 00:00:00,,美差招聘,A,SERVICE_INDUSTRIES,专注于服务业人才招聘服务,20093,,ANGEL,35215,USD,68
2014-10-01 00:00:00,,采购兄弟,ANGEL,SOFTWARE,面向供货商与餐饮企业的 B2B 在线交易平台,20093,,ANGEL,138982,USD,69
2014-08-01 00:00:00,,回家吃饭,B,CONSUMER_LIFESTYLE,本地的邻家就餐服务O2O平台,20093,,ANGEL,138981,USD,70
2014-06-01 00:00:00,,遥指科技,A,ADVERTISING_MARKETING,利用大数据与个性化推荐技术为企业提供产品解决方案,20093,,ANGEL,12473,USD,71
2014-06-01 00:00:00,,宝贝去哪儿,ANGEL,OTHER,关注3—12儿童的家庭亲子本地生活移动应用,20093,,ANGEL,138980,USD,72
2014-02-01 00:00:00,险峰华兴,友友租车,B,AUTO,私家车共享平台,20093,数百万,ANGEL,28869,CNY,73
2013-08-01 00:00:00,,典典养车(养车点点),C,AUTO,汽车服务平台,20093,,ANGEL,31242,USD,74
2013-09-01 00:00:00,,悠先点菜,B,CONSUMER_LIFESTYLE,线上点餐搜索餐厅应用,20093,,ANGEL,137055,USD,75
2014-07-01 00:00:00,险峰华兴,榜样教育,A,EDUCATION_TRAINING,向榜样学习,20093,数百万,ANGEL,28959,CNY,76
2014-08-01 00:00:00,源码资本,嘟嘟美甲,A,CONSUMER_LIFESTYLE,上门美甲O2O服务APP,20090,,A,137089,USD,77
2014-10-01 00:00:00,源码资本,壹财富,A,FINANCE,互联网理财服务平台,20090,数千万,A,31813,USD,78
2014-10-01 00:00:00,源码资本,卡考网络,B,PROPERTY_AND_HOME_FURNISHINGS,以经纪人为核心的房产交易平台,20090,,A,139224,USD,79
2014-10-01 00:00:00,"源码资本,光信资本,红杉资本",一亩田,B,E_COMMERCE,主打农业的商务服务网站,20090,,B,138262,USD,80
