investDate,name,company_url,investor_id,amount,phase,id
2014年9月,添米宝,http://itjuzi.com/company/17956,10208,数百万人民币,种子天使,74
2014年8月,大特保,http://itjuzi.com/company/14956,10208,数百万人民币,种子天使,75
2012年1月,Molbase摩贝,http://itjuzi.com/company/7821,10208,数百万人民币,种子天使,76
2014年11月,保保18-保保网,http://itjuzi.com/company/4098,10218,数千万人民币,A轮,77
2014年7月,爱钱帮,http://itjuzi.com/company/9643,10218,1000万,A轮,78
2014年6月,微贷网,http://itjuzi.com/company/4028,10218,10000万,A轮,79
2014年4月,钱景财富,http://itjuzi.com/company/10110,10218,数千万人民币,A轮,80
2014年4月,钱先生,http://itjuzi.com/company/1545,10218,1000万,A轮,81
2014年1月,网贷天眼,http://itjuzi.com/company/9565,10218,数百万人民币,种子天使,82
2015年7月,上海锐问,http://itjuzi.com/company/23723,10223,数千万人民币,A轮,83
2015年2月,问卷网,http://itjuzi.com/company/2127,10226,550万,B轮,84
2015年1月,YOLOWAY校鹿网,http://itjuzi.com/company/17642,10226,200万,种子天使,85
2014年9月,天赐游戏,http://itjuzi.com/company/16514,10228,数百万人民币,种子天使,86
2013年10月,莉莉丝Lilith Games,http://itjuzi.com/company/6311,10228,200万,种子天使,87
2015年7月,八公美宠,http://itjuzi.com/company/23650,10241,数百万人民币,种子天使,88
2014年9月,萌Mark惊鱼科技,http://itjuzi.com/company/16256,10242,数百万人民币,种子天使,89
2014年5月,YAMI丫咪,http://itjuzi.com/company/15141,10242,400万,种子天使,90
2013年9月,RunMobile润华联动,http://itjuzi.com/company/5799,10242,数百万人民币,种子天使,91
2013年4月,时尚猫,http://itjuzi.com/company/4219,10242,数百万人民币,种子天使,92
2013年3月,热度传媒,http://itjuzi.com/company/17170,10242,数百万人民币,种子天使,93
2013年3月,Sensoro云子,http://itjuzi.com/company/1642,10242,数百万人民币,种子天使,94
2012年11月,小能科技,http://itjuzi.com/company/9548,10242,数百万人民币,种子天使,95
2014年6月,伊视可眼镜（SeeStory）,http://itjuzi.com/company/1075,10245,数千万人民币,A轮,96
2013年10月,Fandora.tw,http://itjuzi.com/company/4835,10245,数百万美元,A轮,97
2012年5月,EZtable易订网,http://itjuzi.com/company/4793,10245,数百万美元,A轮,98
2015年5月,沙米,http://itjuzi.com/company/24155,10254,未透露人民币,种子天使,99
2015年6月,91投房,http://itjuzi.com/company/23773,10255,数百万人民币,种子天使,100
2014年11月,一见TV/一见视频,http://itjuzi.com/company/24374,10255,数百万人民币,种子天使,101
2014年6月,MikeCRM麦客,http://itjuzi.com/company/1262,10255,数百万人民币,A轮,102
2014年1月,创客Inn,http://itjuzi.com/company/12198,10255,数百万人民币,种子天使,103
2014年1月,创助手,http://itjuzi.com/company/9629,10255,数百万人民币,种子天使,104
2013年11月,火币网,http://itjuzi.com/company/2677,10255,数百万人民币,种子天使,105
2013年8月,绿狗网,http://itjuzi.com/company/3038,10255,1150万,A轮,106
2013年2月,伙伴云表格-伙伴聚力,http://itjuzi.com/company/11556,10255,数百万人民币,种子天使,107
2013年1月,有利网,http://itjuzi.com/company/58,10255,数百万人民币,种子天使,108
2013年1月,在路上旅行网,http://itjuzi.com/company/15504,10255,数百万人民币,种子天使,109
2012年12月,辣妈帮,http://itjuzi.com/company/454,10255,数百万人民币,种子天使,110
2012年1月,漫博客er\魔漫相机,http://itjuzi.com/company/2961,10255,数百万人民币,种子天使,111
2011年1月,晶合思动BlingStorm,http://itjuzi.com/company/5488,10255,数百万人民币,种子天使,112
2010年1月,CamelGames壳木软件,http://itjuzi.com/company/353,10255,数百万人民币,种子天使,113
2007年12月,博雅互动,http://itjuzi.com/company/5777,10255,100万,种子天使,114
2015年4月,青苔债管家,http://itjuzi.com/company/24383,10258,数百万人民币,种子天使,115
2015年4月,美孕医疗,http://itjuzi.com/company/24381,10258,数百万人民币,种子天使,116
2015年4月,真星座,http://itjuzi.com/company/24375,10258,数百万人民币,种子天使,117
2015年3月,甩单宝,http://itjuzi.com/company/20593,10258,数百万人民币,种子天使,118
2015年1月,找房网,http://itjuzi.com/company/24378,10258,数百万人民币,种子天使,119
2015年8月,万能小哥,http://itjuzi.com/company/23023,10268,2000万,Pre-A轮,120
2015年4月,住两天,http://itjuzi.com/company/19397,10268,600万,种子天使,121
2015年2月,美差招聘,http://itjuzi.com/company/18687,10268,200万,种子天使,122
2015年1月,跑跑兼职,http://itjuzi.com/company/18143,10268,数百万人民币,种子天使,123
2014年9月,友友租车,http://itjuzi.com/company/9855,10268,1000万,A轮,124
2014年2月,友友租车,http://itjuzi.com/company/9855,10268,数百万人民币,种子天使,125
2012年7月,滴滴打车/滴滴快的,http://itjuzi.com/company/157,10268,数百万人民币,种子天使,126
2015年1月,爱相机Airtake,http://itjuzi.com/company/18664,10272,数百万人民币,种子天使,127
2014年11月,沐金农,http://itjuzi.com/company/14268,10310,数百万人民币,种子天使,128
2015年7月,会分期,http://itjuzi.com/company/24303,10314,3500万,A轮,129
2015年7月,贝米钱包,http://itjuzi.com/company/18131,10317,数百万美元,Pre-A轮,130
2015年7月,直订网,http://itjuzi.com/company/23428,10320,550万,A轮,131
2015年6月,91投房,http://itjuzi.com/company/23773,10320,数百万人民币,种子天使,132
2014年3月,我有外卖,http://itjuzi.com/company/10608,10321,数百万人民币,种子天使,133
2013年10月,游戏葡萄,http://itjuzi.com/company/3631,10321,数百万人民币,种子天使,134
2013年1月,8868交易平台,http://itjuzi.com/company/4818,10321,400万,种子天使,135
2014年12月,聚财猫,http://itjuzi.com/company/19345,10337,数百万人民币,种子天使,136
2014年6月,米折网,http://itjuzi.com/company/27,10337,3000万,B轮,137
2013年1月,米折网,http://itjuzi.com/company/27,10337,数千万人民币,A轮,138
2012年7月,力美广告I-Media,http://itjuzi.com/company/4136,10337,2000万,B轮,139
2011年7月,力美广告I-Media,http://itjuzi.com/company/4136,10337,1000万,A轮,140
2010年12月,诚迈科技,http://itjuzi.com/company/293,10337,1000万,A轮,141
2014年10月,5miles,http://itjuzi.com/company/14177,10350,数百万美元,A轮,142
2014年8月,星愿汇,http://itjuzi.com/company/7450,10350,数百万美元,A轮,143
2014年6月,北京第三石科技,http://itjuzi.com/company/13692,10350,数百万美元,A轮,144
2015年1月,秒聘网,http://itjuzi.com/company/19575,10353,数百万人民币,种子天使,145
2014年7月,寺库网,http://itjuzi.com/company/2969,10359,10000万,D轮,146
2014年7月,餐饮老板内参,http://itjuzi.com/company/12350,10365,数百万人民币,种子天使,147
2014年8月,悦跑圈,http://itjuzi.com/company/8771,10377,数百万人民币,种子天使,148
2014年5月,Broadlink古北电子,http://itjuzi.com/company/628,10377,1000万,B轮,149
