startDate,endDate,name,investor_id,position,id
,,蝙蝠资本,10094,创始合伙人,181
,,高德,10094,,182
,,湾海投资,10095,创始人,183
,,约瑟投资,10096,董事长,184
,,Cherubic,10097,Ventures心元资本 合伙人,185
,,新浪,10097,,186
,,太冠资本,10098,创始合伙人,187
,,耀途资本,10098,合伙人,188
,,奇虎360 ,10098,,189
,, 艾瑞,10098,,190
,,太冠资本,10099,创始合伙人,191
,,创业基金会/创业接力基金,10099,投资总监(已离职),192
,,逐鹿资本,10100,合伙人,193
,,微软,10100,,194
,,逐鹿资本,10101,投资总监,195
,,逐鹿资本,10102,合伙人,196
,,逐鹿资本,10103,合伙人,197
,,合一天使基金,10104,创始合伙人,198
,,搜狐,10104,,199
,,合一天使基金,10105,合伙人,200
,,弘俊财富,10106,创始合伙人,201
,,天奇阿米巴基金,10107,投资合伙人,202
,,天奇阿米巴基金,10108,投资合伙人,203
,,天奇阿米巴基金,10109,投资合伙人,204
,,Cisco思科 ,10109,,205
,, 通用电气,10109,,206
,,AB,10110,Capital 创始合伙人,207
,,全明星投资All-Stars,10111,Investment 合伙人,208
,,摩根斯坦利,10111,,209
,,蓝石天使基金,10112,创始人,210
,,京北投资-京北天使,10112,创始合伙人,211
,,上海掌门科技,10113,创始人,212
,,盛大,10113,,213
,,浅石创投,10114,创始合伙人,214
,,德迅投资,10115,董事总经理,215
,,腾讯 ,10115,,216
,, Cisco思科,10115,,217
,,洋葱基金,10116,合伙人,218
,,阿里巴巴 ,10116,,219
,, 新浪 ,10116,,220
,, 雅虎,10116,,221
,,洋葱基金,10117,合伙人,222
,,洋葱基金,10118,合伙人,223
,,阿里巴巴 ,10118,,224
,, 雅虎,10118,,225
,,洋葱基金,10119,合伙人,226
,,阿里巴巴 ,10119,,227
,, 中国万网,10119,,228
,,洋葱基金,10120,合伙人,229
,,新浪 ,10120,,230
,, 蓝色光标,10120,,231
,,信天创投,10121,合伙人,232
,,百度 ,10121,,233
,, 腾讯 ,10121,,234
,, 创新工场,10121,,235
,,华旦天使投资,10122,董事总经理,236
,,千合资本,10123,董事长,237
,,华夏基金,10123,,238
,,蝙蝠资本,10124,创始合伙人,239
,,阿里巴巴 ,10124,,240
,, 新浪 ,10124,,241
,, 雅虎,10124,,242
,,高览资本,10125,董事长,243
,,星瀚资本,10126,创始合伙人,244
,,星瀚资本,10127,创始合伙人,245
,,星瀚资本,10128,合伙人,246
,,欧拉资本Euler,10129,Capital 合伙人,247
,,风云天使基金,10130,创始人,248
,,风云天使基金,10131,创始人,249
,,惠泽天下创投,10132,投资经理,250
,,三星,10132,,251
,,麒麟资本Kylin,10133,Capital 创始合伙人,252
,,春华资本Primavera,10134,创始人,253
,,高盛,10134,,254
,,蓝山中国资本,10135,创始合伙人,255
,,美银美林 ,10135,,256
,, 艺龙,10135,,257
,,联新资本,10136,合伙人,258
,,IBM,10136,,259
,,联新资本,10137,合伙人,260
,,联新资本,10138,合伙人,261
,,数元创投-宇海数园,10139,创始合伙人,262
,,深圳高特佳,10140,董事长,263
,,国泰君安,10140,,264
,,深圳高特佳,10141,总裁,265
,,国泰君安,10141,,266
,,深圳高特佳,10142,主管合伙人,267
,,西门子,10142,,268
,,小村资本,10143,创始人,269
,,小村资本,10144,高级分析员,270
,,小村资本,10145,高级分析员,271
,,小村资本,10146,分析员,272
,,小村资本,10147,研究员,273
,,联创策源,10148,投资总监,274
,,腾讯 ,10148,,275
,, 联创策源,10148,,276
,,迭代资本,10149,合伙人,277
,,安永,10149,,278
,,迭代资本,10150,合伙人,279
,,华为,10150,,280
,,迭代资本,10151,合伙人,281
,,JOY,10152,Capital愉悦资本 创始合伙人,282
,,JOY,10153,Capital愉悦资本 创始合伙人,283
