startDate,endDate,name,investor_id,position,id
2009年,2015年,杭州盈动投资管理有限公司,48,创始合伙人,65
2007年,2011年,Facebook,49,研发经理,68
2006年,2007年,Yahoo,49,工程师,68
2014年,2015年,盈动投资,50,合伙人,69
2013年,2015年,渣打香港,51,经理,71
2010年,2015年,景林投资,52,董事,73
2008年,2010年,华兴资本,52,经理,73
2010年,2012年,阿里巴巴,53,『来往』负责人,74
2014年,2015年,信天创投,54,合伙人,75
2011年,2011年,百度魔图,54,CTO,75
2014年,2015年,凯旋创投,55,副总裁,76
2010年,2014年,新加坡电信Innov8创投基金,55,上海首席代表,76
2009年,2010年,UTC亚太区域总部 (NYSE:UTX),55,M&A Director,76
2006年,2009年,罗兰·贝格国际管理咨询,55,项目经理,76
2004年,2006年,IBM,55,大型服务器工程师,76
,,阿里巴巴,56,,76
,,口碑网,56,创始人,76
,,挖财,56,董事长,76
2004年,2010年,腾讯,57,QQ音乐产品负责人,77
2010年,2012年,易讯天空-500wan彩票网,57,运营总监,77
2013年,2015年,顺为资本,57,副总裁,77
2005年,2014年,鼎晖投资,58,合伙人,78
2011年,2015年,Ason,59,CEO,81
2012年,2015年,厦门蒙发利科技集团,59,销售总监,81
2015年,2015年,坚果资本,59,投资总监,81
2000年,2008年,Amarsoft,60,联合创始人,83
2009年,2010年,金沙江创投,60,投资经理,83
2010年,2011年,摩根士坦利,60,亚洲战略投资部投资经理,83
2011年,2014年,DCM创投,60,投资副总裁,83
2014年,2015年,蓝湖资本,60,合伙人,83
2003年,2005年,微软中国,61,工程师,84
2005年,2008年,麦肯锡,61,咨询,84
2008年,2011年,光速全球基金,61,执行董事,84
2011年,2015年,光速安振中国投资基金,61,合伙人,84
2013年,2015年,创新工场,62,投资经理,85
2010年,2012年,盛大网络,63,供职于盛大创新院,86
2013年,2014年,鼎晖投资,64,投资经理,89
2015年,2015年,执一资本,64,,89
2012年,2015年,贝塔斯曼亚洲投资基金,65,投资经理,91
2015年,2015年,贝塔斯曼亚洲投资基金,65,投资经理,91
,,阿里巴巴,66,早期员工,91
2010年,2015年,华映资本,67,董事,92
2007年,2008年,华创资本,68,投资经理,93
2008年,2015年,贝塔斯曼亚洲投资基金,68,合伙人,93
2006年,2008年,Trilogy,69,工程师,94
2008年,2010年,浙商传媒,69,总监,94
2011年,2014年,梦工场创投,69,董事总经理,94
2015年,2015年,曲速资本,69,管理合伙人,94
2008年,2010年,新浪,70,运营经理,95
2010年,2011年,天鸽集团,70,首席策略官助理,95
2015年,2015年,零一创投,71,助理副总裁,97
1998年,2008年,兆迪公司,72,创始人,99
2008年,2015年,旦恩创投,72,创始人,99
2012年,2015年,中路资本,73,副总裁,100
2012年,2015年,险峰华兴,74,高级投资经理,101
2010年,2011年,华兴资本,75,分析师,103
2011年,2012年,思伟投资顾问,75,分析师,103
2013年,2015年,光速安振中国基金,75,副总裁,103
2006年,2008年,Vnetoo Technology,76,副总裁,104
2008年,2013年,IDG资本,76,深圳负责人,104
2014年,2015年,复兴昆仲资本,76,执行董事,104
2013年,2015年,顺为资本,77,投资经理,105
2010年,2015年,德同资本,78,投资经理,106
2009年,2010年,贝克麦坚时,78,中国事务分析师,106
2002年,2005年,盛大网络,79,早期员工,108
2007年,2009年,IDG资本,79,投资经理,108
2009年,2010年,动石网络,79,CEO,108
2010年,至今年,经纬中国,79,合伙人,108
2011年,,德同资本,80,投资总监,109
2010年,2011年,银江股份有限公司,80,投资经理,109
2008年,2010年,网新集团创新中心,80,分析师,109
2015年,2015年,中路资本,81,合伙人,110
2012年,2014年,联想集团乐基金,82,高级投资经理,111
2014年,2015年,弘鹰投资,83,投资总监,112
2008年,2014年,清科创投,83,投资总监,112
2015年,2015年,戈壁投资,84,投资总监,113
2014年,2015年,人人公司,85,战略发展部总监,114
2012年,2013年,九鼎投资,86,投后管理,115
2013年,2015年,青藤云安全,86,联合创始人,115
2014年,2015年,驰创资本,87,投资经理,116
2015年,至今年,熊猫资本,87,投资经理,116
2002年,2007年,波士顿管理咨询,88,咨询师,119
2007年,2014年,纪源资本,88,副总裁,119
2014年,2015年,蓝湖资本,88,合伙人,119
2012年,2015年,成为资本,89,副总裁,121
2010年,2012年,波士顿咨询集团,89,顾问,121
2011年,2015年,软银中国资本,90,执行董事,123
2009年,2011年,麦肯锡,90,项目经理,123
2007年,2007年,腾讯,90,战略顾问,123
2006年,2007年,友林网,90,联合创始人/CEO,123
2012年,2015年,北京播点文化传媒有限公司,91,创始人,124
2009年,2010年,盛大,92,研究院,126
2010年,2012年,盛大资本,92,战略投资部,126
2012年,至今年,晨兴资本,92,投资经理,126
2014年,2015年,软银中国资本,93,高级投资经理,127
2007年,2010年,腾讯,94,产品经理,128
2010年,2011年,金山软件,94,项目经理,128
2011年,2013年,同创伟业创业投资,94,TMT投资总监,128
2013年,,红杉资本中国,94,副总裁,128
2006年,2011年,中关村数字娱乐留学人员创业园,95,总经理助理&投资部总经理,130
2011年,2013年,北京数码视讯科技股份有限公司,95,高级投资经理,130
2013年,2015年,竞技世界（北京）网络技术有限公司,95,投资副总裁,130
2012年,至今年,红杉资本中国,96,投资经理,130
2012年,2014年,平安创新投资基金,97,投资经理,131
2014年,2015年,光信资本,97,投资经理,131
2013年,2015年,达晨创投,98,投资总监,133
2011年,2013年,海峡产业基金,98,投资经理,133
2013年,2015年,新进创投,99,高级投资经理,134
1992年,1998年,建设银行湖南省分行,100,融资部总经理,135
1998年,2003年,湘财证券投资银行部,100,副总经理,135
2003年,2006年,华欧国际证券,100,执行董事,135
2006年,2015年,海捷投资,100,合伙人,135
2000年,2004年,Lycos 亚洲,101,企业发展部,136
2004年,2008年,华盈基金,101,合伙人,136
2007年,2008年,凯鹏华盈,101,合伙人,136
2009年,2014年,经纬创投,101,合伙人,136
2014年,2015年,极客邦资本,101,管理合伙人,136
1992年,1995年,德勤,102,经理,137
2012年,至今年,德同资本,102,合伙人,137
2015年,2015年,乐游资本,103,创始合伙人,138
2012年,2014年,起源资本,103,合伙人,138
2011年,2012年,必帮咖啡,103,联合创始人,138
2010年,2011年,清科资本,103,高级投资经理,138
2015年,2015年,Joy Capital愉悦资本,104,创始合伙人,140
2011年,2014年,君联资本,104,投资总监,140
2008年,2011年,美彩科技,104,产品总监,140
