id,name,position,brief,investStart,investCount,investNextPhase,investQuit,investPhases,investLimit,investPlan,focusIntustry,city
51,魏进,德沃基金 • 投资经理,曾投资：大特保、砖家、酒小秘、好木多、卡尔配达、投友圈、网贷天眼,2015,,,,种子轮/天使轮,0W - 0W 人民币,未确定,金融、B2B、撮合交易平台,上海
52,陈尘,景林投资 • 董事,曾投资：大众点评、达达快递、迈外迪、亿觅、雷锋网、淘粉吧、Gitcafe、聚爱才等。,2010,16,16,,Pre-A 轮、A 轮、B 轮、C 轮、D 轮、D 轮以上,500W - 5000W 人民币,6 个,互联网金融、企业级应用/服务、O2O、撮合交易平台、分享经济,北京、上海、深圳
53,顾大宇,杭州攻壳科技有限公司 • CEO,曾投资：KnewOne 、每人计。 智能硬件投资找顾大宇,2014,3,,,种子轮/天使轮、A 轮,300W - 3000W 人民币,20 个,智能硬件,深圳、杭州
54,蒋宇捷,信天创投 • 合伙人,百度魔图创始人。曾投资：美味不用等、闪电报销、婚趣、theL、拼豆夜宵等。,2015,12,7,,种子轮/天使轮、Pre-A 轮、A 轮,100W - 2000W 人民币,15 个,O2O、VR、互联网金融、餐饮、B2B,北京、上海、深圳
55,闻凯,凯旋创投 Keytone Ventures • 副总裁,曾投资：Yodo1、Nexenta、Massive Impact、乐看儿童等。,2010,16,13,6,种子轮/天使轮、Pre-A 轮、A 轮、B 轮,500W - 15000W 人民币,10 个,海外市场、金融、教育培训、社交、人工智能,北京、上海、广州、深圳、杭州、成都、海外
56,李治国,阿米巴资本 • 管理合伙人, 曾投资：快的打车、蘑菇街,2010,5,4,,种子轮/天使轮、Pre-A 轮,0W - 300W 人民币,未确定,互联网金融、生活服务、医疗健康、网络安全,上海、杭州
57,邓菁,顺为资本 • 副总裁,曾投资：500wan彩票网、白鹭引擎等。,2013,5,3,,A 轮,3000W - 6000W 人民币,5 个,撮合交易平台、电商、消费电子、生活方式,北京、上海、广州
58,李牧晴,执一资本 • 合伙人,曾投资：房多多等,2005,9,7,,A 轮,2000W - 15000W 人民币,未确定,房产、O2O,北京、上海
59,李延丰,坚果资本 • 投资总监,曾投资：美车美品、先行网络、来肯在线、维运网,2015,5,,,种子轮/天使轮、Pre-A 轮、A 轮,200W - 3000W 人民币,10 个,B2B、电商平台,北京、上海、深圳、厦门
60,胡博予,蓝湖资本 • 合伙人,曾投资：豌豆荚、优信拍、51Talk等。一个理想主义的创业者兼产品极客,2009,8,6,,Pre-A 轮、A 轮、B 轮,600W - 9000W 人民币,5 个,O2O、B2B、兴趣图谱,北京、上海
61,韩彦,光速安振中国基金 • 合伙人,曾投资：途家、房多多、美乐乐、足记、运满满、杏仁医生等,2008,25,15,,种子轮/天使轮、Pre-A 轮、A 轮、B 轮,100W - 10000W 人民币,10 个,社交、B2B、O2O、分享经济,北京、上海、深圳、杭州
62,孙志超,创新工场 • 投资经理,曾投资：甜瓜在线、轩意网络、仕堃科技等。,2014,5,1,,种子轮/天使轮、Pre-A 轮、A 轮,100W - 1000W 人民币,5 个,新媒体、文创、娱乐、新内容生态、二次元,北京、上海
63,顾旻曼,真格基金 • 投资总监,曾投资：大姨吗、FitTime睿健时代等。,2011,21,7,,种子轮/天使轮,50W - 600W 人民币,20 个,智能硬件、工具软件、企业级应用/服务,北京、上海、广州、深圳、杭州
