startDate,endDate,brief,investor_id,kr_id,groupName,isCurrent,position,kr_group_id,id
1412136000000,253392455349000,政府基金引导的互联网金融，服务小微企业，服务网络投资人,681,1150,天津海河普惠金融信息服务有限公司,True,创始人,131791,59
1425182400000,253392455349000,寻求有价值的趋势,678,1656,港股那些事,True,联合创始人,134643,60
1420084800000,253392455349000,天使 prea a,679,1356,tencent,True,创始人,142734,61
1372651200000,1404187200000,基于大数据的互联网广告公司,1152,38077,IZP,False,联合创始人,139781,62
1330574400000,1396324800000,租车服务平台,1148,39380,车速递租车,False,联合创始人,7662,63
,253392455349000,互联网创业平台,1128,33378,36氪,True,联合创始人,1515,64
1288584000000,1314849600000,都市白领生活平台,1120,35638,靠谱网,False,创始人,155339,65
1262318400000,1285905600000,中国第一家专业电影视效平台,1120,35638,核弹中国视效,False,创始人,155341,66
1406865600000,253392455349000,3D拟真硬核游戏公司,1117,36444,Otaku Games,True,创始人,157286,67
1235880000000,253392455349000,西和专注于互联网事业,1100,28976,西和,True,创始人,159380,68
1417406400000,1425182400000,众包二手车拍卖平台+车商金融服务支持,1099,29156,拍呀,False,创始人,136245,69
1427860800000,253392455349000,购思是一个点子创造平台,1337,48488,购思,True,联合创始人,142773,70
993960000000,253392455349000,从事信息安全，关注互联网初创企业,1412,67549,湖北华枫科技发展有限公司,True,创始人,142700,71
1420084800000,253392455349000,运用大数据技术筛选证券产品，并做成产品组合,1331,49418,方尊网络科技,True,创始人,139490,72
1064980800000,1209614400000,三氯蔗糖食品添加剂国内第二,1330,49501,厦门博傲科技有限公司,False,创始人,139414,73
1038715200000,253392455349000,中国领先的互联网专业信息咨询机构,1328,50506,艾瑞集团,True,创始人,139529,74
1136088000000,1172721600000,阿狸是一个国产原创动漫品牌，受到成千上万人士追捧。,1322,52518,阿狸,False,联合创始人,27635,75
0,253392455349000,发现智能生活的乐趣,1302,46606,乐趣,True,创始人,139078,76
1335844800000,1398916800000,免费打车软件，无需人工电话，能高效准确的打车,1302,46606,滴滴打车,False,创始人,133772,77
1393646400000,1427860800000,二手车零售平台,1631,82288,优车诚品,False,联合创始人,29655,78
1054440000000,1164945600000,根据用户不同的护肤需求，推荐跨品牌的护肤品电商店,1631,82288,lifejoy丽人居,False,创始人,146210,79
1367380800000,253392455349000,来咯哦了来咯,1648,86322,39氪,True,联合创始人,159651,80
1014955200000,253392455349000,123123123123123,1648,86322,38氪,True,联合创始人,137279,81
857188800000,253392455349000,36氪子公司,1648,86322,40氪,True,创始人,159978,82
1420084800000,253392455349000,众诚基金是一家关注互联网项目，TMT，新技术等项目的投资公司,1643,87161,宁波众融投资管理合伙企业（有限合伙）,True,创始人,154970,83
1351742400000,1404187200000,有机果蔬肉等农产品电子商务网站,1618,84579,天天踏歌,False,联合创始人,4720,84
1309492800000,1372651200000,智能LED照明。,1604,75974,深圳市牛犊科技有限公司（酷毙灯）,False,联合创始人,154777,85
1398916800000,253392455349000,让你的投资更有趣！,1594,79407,云岸金服,True,创始人,159136,86
1364788800000,1409544000000,关注创业与投资,1866,93174,B12,False,联合创始人,147733,87
1314849600000,1412136000000,珠宝定制电商,1860,94212,Jillgem,False,创始人,146877,88
1254369600000,253392455349000,一款以经期健康为核心关爱女性健康的手机应用,1857,94827,大姨吗,True,创始人,4980,89
1114920000000,253392455349000,国内领先的传媒和公关服务集团,1851,89716,众引传播,True,创始人,159582,90
1254369600000,1338523200000,青年精英商业联合汇社交平台,1843,91057,凯业,False,创始人,146571,91
1406865600000,253392455349000,创业者社交,2036,186901,微链,True,联合创始人,147729,92
1257048000000,1328068800000,基于图像识别技术的自动化游戏虚拟物品交易平台,2281,34161,中青盛联,False,联合创始人,136717,93
1217563200000,1254369600000,印刷行业软件公司,2281,34161,凌云科技,False,创始人,136716,94
1314849600000,1346472000000,基于大数据与语义分析的社交应用公司，A轮后已收摊,2269,36827,深圳乐荐网络科技有限公司,False,联合创始人,137391,95
1217563200000,1338523200000,国内曾排名第一的页游公司目前在原业务基础上大力拓展手游市场,2269,36827,杭州乐港科技有限公司,False,联合创始人,137390,96
1422763200000,253392455349000,全国最大的中医在线问诊平台,2258,14660,冬日中医,True,联合创始人,133737,97
1346472000000,253392455349000,好文章推荐平台,2256,15131,PEVCTMT,True,联合创始人,8828,98
1238558400000,1406865600000,晨致教育为海外留学生提供一站式升学服务,2253,20199,晨致教育,False,创始人,134843,99
1114920000000,1180670400000,知道你口味的音乐推荐引擎,2252,20479,8box.cn,False,联合创始人,134922,100
1378008000000,1412136000000,零基础绘画,2234,4970,游乐绘,False,联合创始人,157158,101
1293854400000,253392455349000,移动社交网络,2233,5004,点点、啪啪,True,创始人,140321,102
962424000000,1214884800000,中国最大的信用风险管理软件公司,2217,1962,安硕信息,False,联合创始人,131935,103
1346472000000,253392455349000,好文章推荐平台,2205,2988,PEVCTMT,True,联合创始人,8828,104
1430452800000,253392455349000,针对骑行爱好者的智能骑行教练，超级码表,2201,508,野兽骑行,True,联合创始人,134096,105
1430452800000,253392455349000,中国首个“一站式”移动互联网物业管理专家,2201,508,邻里间,True,联合创始人,143055,106
1430452800000,253392455349000,面向有车人士提供在线分期消费及借款服务,2201,508,滴士分期,True,创始人,157793,107
1425182400000,253392455349000,中小微草根企业的销售人员管控和业务管理的移动云服务平台,2201,508,小步外勤,True,联合创始人,131614,108
1425182400000,253392455349000,整合酒店空置资源和供应商优势产品的体验式电商服务平台。,2201,508,1克拉体验式电商服务平台,True,联合创始人,29043,109
1425182400000,253392455349000,虚拟现实解决方案提供商,2201,508,Depth VR,True,联合创始人,30909,110
1425182400000,253392455349000,简化旅行准备、拥有个性化定制体验的旅游APP,2201,508,WeeGo我去旅行,True,联合创始人,10172,111
1425182400000,253392455349000,社交出版平台,2201,508,赞赏,True,联合创始人,131834,112
1425182400000,253392455349000,新模式珠宝玉石电商平台,2201,508,挖漏儿,True,联合创始人,131744,113
1425182400000,253392455349000,社会化母婴电商,2201,508,爱囤货,True,联合创始人,34569,114
1420084800000,253392455349000,WildDog野狗是硬件开发者服务平台。,2201,508,WildDog野狗,True,创始人,131663,115
1412136000000,253392455349000,新型二手车交易及金融服务平台,2201,508,品车会,True,联合创始人,157802,116
0,253392455349000,让人人都有贴身的明星私教，打造真正的健身垂直平台。,2201,508,Rock Fit,True,联合创始人,130724,117
1370059200000,253392455349000,"好学, 好玩, 每个人都可以",2196,1093,玩编程,True,创始人,131793,118
1301630400000,1317441600000,百度魔图（原魔图精灵），是一款好玩易用的掌上美图工具。,2190,1414,百度魔图,False,联合创始人,131994,119
1359691200000,253392455349000,淘幸福-淘幸福-淘幸福-淘幸福-,2170,387,淘幸淘,True,创始人,143451,121
1409544000000,,产品测试所用，非正式公司,2169,394,产品测试专用公司,True,创始人,130740,122
1193889600000,1335844800000,身边LBS应用,2173,215853,身边网,False,联合创始人,160842,120
1309492800000,253392455349000,互联网创业平台,2167,397,36氪,True,创始人,1515,123
1398916800000,253392455349000,互联网创业平台,2166,400,36氪,True,联合创始人,1515,128
1420084800000,253392455349000,互联网创业平台,2168,396,36氪,True,联合创始人,1515,124
1388548800000,253392455349000,人人网旗下经纬网出品的名片识别及商务社交工具,2168,396,经纬名片通,True,创始人,9925,125
1372651200000,1393646400000,大数据驱动的招聘解决方案,2168,396,尚格德塔,False,创始人,131638,126
1335844800000,1367380800000,社交网络大数据分析,2168,396,智拓,False,创始人,130730,127
1409544000000,253392455349000,用户行为日志分析,2165,401,尚格数据,True,创始人,131673,129
1264996800000,253392455349000,创新营销服务提供商,2165,401,WE微,True,联合创始人,5221,130
0,253392455349000,社交网络大数据分析,2165,401,智拓,True,创始人,130730,131
0,253392455349000,大数据驱动的招聘解决方案,2165,401,尚格德塔,True,联合创始人,131638,132
0,253392455349000,人人网旗下经纬网出品的名片识别及商务社交工具,2165,401,经纬名片通,True,联合创始人,9925,133
0,253392455349000,互联网创业平台,2165,401,36氪,True,联合创始人,1515,134
1393646400000,1420084800000,人人网旗下经纬网出品的名片识别及商务社交工具,2165,401,经纬名片通,False,联合创始人,9925,135
1328068800000,1370059200000,社交网络大数据分析,2165,401,智拓,False,联合创始人,130730,136
1262318400000,253392455349000,this is a test company,2163,416,不错的公司,True,创始人,131658,137
1293854400000,1357012800000,微信运营平台,2163,416,36计,False,创始人,30359,138
1033444800000,1204344000000,正版数字内容提供商，致力于成为全球领先的中文数字出版机构,2145,210791,中文在线,False,联合创始人,5183,139
1204344000000,1267416000000,世界领先的钒电池公司,2145,210791,普能科技,False,联合创始人,160198,140
1367380800000,253392455349000,sdfsdfsdfasdsdf,2782,42366,adsfsdf,True,创始人,133701,141
1177992000000,1314849600000,海外游戏发行,2782,42366,IngleGames,False,联合创始人,139822,142
1388548800000,253392455349000,洗衣、家政服务、清洁服务于一身的互联网技术公司,2777,47157,e袋洗,True,创始人,13778,143
1291176000000,1325390400000,专注于英国本地华人的目的地旅行,2775,48822,英国海诺旅行,False,联合创始人,139808,144
1096603200000,253392455349000,一家视频媒体，通过网站、手机客户端为用户提供海量视频内容。,2771,57874,PPTV,True,创始人,4883,145
920260800000,253392455349000,IT技术社区和服务平台,2767,65120,CSDN,True,创始人,5304,146
